stage,n_samples,mae_x,mae_y,mae_norm,rmse_x,rmse_y,rmse_norm,final_error,max_error
fusion,30,0.4276666800181071,0.334114593764146,0.542707426671029,1.6563459294379448,1.294020257373394,2.101896825359978,8.140611400065435,8.140611400065435
unicycle,58,0.1640022072132704,0.0119687253997361,0.1650014539705859,0.3961920109834666,0.0266744613024985,0.3970889528215332,0.0066885107492363,1.3996824972231563
ackermann,53,0.1970200537401474,0.004339762403987,0.1970684442526744,0.4426013191798846,0.0098093269162428,0.4427100073799144,0.000395082937595,1.399810047542208
