t,stage,target_id,gt_x,gt_y,est_x,est_y,err_x,err_y,err_norm
1774434640.2306066,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434640.333765,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434640.4324615,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434643.4628115,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434643.5526624,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434643.6600757,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434643.76377,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434643.855702,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434643.9508085,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434644.048594,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434644.1513197,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434644.2525623,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434644.356118,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434644.4593117,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434644.6560493,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434644.7570636,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434644.8560288,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434644.9593384,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434645.0899107,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434645.166175,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434645.2601247,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434645.3508456,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434645.4603343,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434645.5547237,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434645.6929536,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434645.7715867,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434645.8531444,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434645.94879,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434646.048964,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434646.1554933,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434646.2518063,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434646.458584,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434646.5543761,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434646.6546185,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434646.7594547,fusion,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774434646.8551064,fusion,1,78.96814208797858,-61.69386100623325,6.694999999999999,-5.230468749999998,-72.27314208797858,56.46339225623325,91.71434856308146
