t,x,y,yaw,frame_id,child_frame_id,valid,reason
1775034317.4166963,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,first_sample
1775034317.5065737,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034317.5919228,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034317.6863537,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034317.7843485,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034317.8856852,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034318.0034542,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034318.0832436,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034318.1974118,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034318.2948048,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034318.3826003,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034318.4799516,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034318.598537,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034318.6812782,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034318.7834463,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034318.8947868,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034318.9814794,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034319.0776694,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034319.1875997,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034319.2860491,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034319.3849502,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034319.4857662,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034319.5946388,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034319.6836374,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034319.8174314,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034319.9061682,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034319.9899244,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034320.0799646,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034320.1856167,74.7,10.099998168945312,1.5707963705062866,map,base_link,1,ok
1775034320.2966747,99.7,10.099997558593751,1.5707963705062866,map,base_link,0,step_too_large=25.000m
1775034320.3811393,99.7,10.099997558593751,1.5707963705062866,map,base_link,0,step_too_large=25.000m
1775034320.4826276,99.7,10.099997558593751,1.5707963705062866,map,base_link,0,step_too_large=25.000m
1775034320.5829437,99.7,10.099997558593751,1.5707963705062866,map,base_link,0,step_too_large=25.000m
1775034320.6923418,99.7,10.099997558593751,1.5707963705062866,map,base_link,0,step_too_large=25.000m
1775034320.785331,99.7,10.099997558593751,1.5707963705062866,map,base_link,0,step_too_large=25.000m
1775034320.884955,99.7,10.099997558593751,1.5707963705062866,map,base_link,0,step_too_large=25.000m
1775034320.9834006,99.7,10.099997558593751,1.5707963705062866,map,base_link,0,step_too_large=25.000m
1775034321.0769012,99.7,10.099997558593751,1.5707963705062866,map,base_link,0,step_too_large=25.000m
1775034321.1826518,99.7,10.099997558593751,1.5707963705062866,map,base_link,0,step_too_large=25.000m
1775034321.2918727,99.69990234375,10.099997558593751,1.5707963705062866,map,base_link,0,step_too_large=25.000m
