stage,n_samples,mae_x,mae_y,mae_norm,rmse_x,rmse_y,rmse_norm,final_error,max_error
fusion,239,1.957564415244325e+30,2.2249628370649618e+32,2.225048966202424e+32,3.0263204936033334e+31,3.4390809107139064e+33,3.439214063126893e+33,28.28043570370821,5.316895825184665e+34
unicycle,199,8.708029379416564,2.578913311639795,9.124860813955872,10.730597816885409,3.163329967905088,11.187152720580528,0.4045125953232029,19.89074888059864
ackermann,83,1.2254594632068618,1.6319292473823082,2.433340002370036,2.4826824027245165,11.330388851590056,11.599199258614115,0.1339296278271607,104.21959462982645
