[INFO] [1775036876.147712977] [trajectory_metrics_node]: TrajectoryMetricsNode ready
  stage: fusion
  camera_gps_topic: /environment/GPS/GPSSDT/odom
  ambulance_gps_topic: /environment/GPS/GPSSDTAMBULANCE/odom
  estimation_topic: /yolo/detections_xyz
  target_track_id: 1
  output_dir: /home/isarlab/ros2_humble/metrics_output/esperimento_01/accelerated_right/esperimento_01_fusion
  max_abs_pose_m: 500.0
  max_abs_estimate_m: 200.0
  max_abs_error_m: 200.0
  max_pose_step_m: 1.5
  max_pose_speed_mps: 8.0
  max_yaw_rate_rps: 1.5
[INFO] [1775036876.169495939] [trajectory_metrics_node]: GT inizializzata: first_gt_rel_cam = [100.680, 28.599]
[INFO] [1775036876.170344668] [trajectory_metrics_node]: Primo campione stima per target 1: [3.372, -0.817]
[WARN] [1775036882.545829169] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.741m, x=97.69107421875, y=10.099997558593751
[WARN] [1775036882.695890155] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.743m, x=97.6808203125, y=10.099997558593751
[WARN] [1775036882.788039527] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.744m, x=97.670615234375, y=10.099997558593751
[WARN] [1775036882.891046829] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.746m, x=97.66046875, y=10.099997558593751
[WARN] [1775036882.967110489] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.748m, x=97.650361328125, y=10.099997558593751
[WARN] [1775036883.055461748] [trajectory_metrics_node]: Scarto ambulance odom non plausibile: x=3.725241008168805e-26, y=-5.316609648471509e+34
[WARN] [1775036883.150157280] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.751m, x=97.63021484375, y=10.099997558593751
[WARN] [1775036883.242310310] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.753m, x=97.62013671875, y=10.099997558593751
[WARN] [1775036883.339720909] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.754m, x=97.61013671875, y=10.099997558593751
[WARN] [1775036883.442021754] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.756m, x=97.60009765625, y=10.099997558593751
[WARN] [1775036883.535705628] [trajectory_metrics_node]: Scarto ambulance odom non plausibile: x=3.257528532906888e-26, y=-5.316609648471509e+34
[WARN] [1775036883.640765003] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.759m, x=97.580078125, y=10.099997558593751
