t,x,y,yaw,frame_id,child_frame_id,valid,reason
1775036625.7171612,0.0,-0.0,0.0,map,base_link,1,first_sample
1775036625.8138971,0.0,-0.0,0.0,map,base_link,1,ok
1775036625.9077196,0.0,-0.0,0.0,map,base_link,1,ok
1775036626.0084977,0.0,-0.0,0.0,map,base_link,1,ok
1775036626.1155312,0.0,-0.0,0.0,map,base_link,1,ok
1775036626.214931,0.0,-0.0,0.0,map,base_link,1,ok
1775036626.3105063,0.0,-0.0,0.0,map,base_link,1,ok
1775036626.4198499,0.0,-0.0,0.0,map,base_link,1,ok
1775036626.5147858,0.0,-0.0,0.0,map,base_link,1,ok
1775036626.6136224,0.0,-0.0,0.0,map,base_link,1,ok
1775036626.7075539,0.0,-0.0,0.0,map,base_link,1,ok
1775036626.8091345,0.0,-0.0,0.0,map,base_link,1,ok
1775036626.911688,0.0,-0.0,0.0,map,base_link,1,ok
1775036627.0181124,0.0,-0.0,0.0,map,base_link,1,ok
1775036627.119028,0.0,-0.0,0.0,map,base_link,1,ok
1775036627.2094438,0.0,-0.0,0.0,map,base_link,1,ok
1775036627.3170729,0.0,-0.0,0.0,map,base_link,1,ok
1775036627.4161897,0.0,-0.0,0.0,map,base_link,1,ok
1775036627.553453,0.0,-0.0,0.0,map,base_link,1,ok
1775036627.6425023,0.0,-0.0,0.0,map,base_link,1,ok
1775036627.7327278,0.0,-0.0,0.0,map,base_link,1,ok
1775036627.8162014,0.0,-0.0,0.0,map,base_link,1,ok
1775036627.9108891,0.0,-0.0,0.0,map,base_link,1,ok
1775036628.0382295,0.0,-0.0,0.0,map,base_link,1,ok
1775036628.1320918,0.0,-0.0,0.0,map,base_link,1,ok
1775036628.220376,0.0,-0.0,0.0,map,base_link,1,ok
1775036628.3091786,0.0,-0.0,0.0,map,base_link,1,ok
1775036628.4075246,0.0,-0.0,0.0,map,base_link,1,ok
1775036628.520985,0.0,-0.0,0.0,map,base_link,1,ok
1775036628.6184375,-4.1145529947267896e+34,-1.8044418030322774e-40,-3.120761744974584e-40,map,base_link,0,abs_limit
1775036628.721255,-4.1145529947267896e+34,-1.8044418030322774e-40,-3.120761744974584e-40,map,base_link,0,abs_limit
1775036628.8245468,-4.1145529947267896e+34,-1.8044418030322774e-40,-3.120761744974584e-40,map,base_link,0,abs_limit
1775036628.9128819,99.7,10.099997558593751,1.5707963705062866,map,base_link,0,step_too_large=100.210m
1775036629.0218737,-4.1145529947267896e+34,-1.8044418030322774e-40,-3.120761744974584e-40,map,base_link,0,abs_limit
1775036629.1313984,99.7,10.099997558593751,1.5707963705062866,map,base_link,0,step_too_large=100.210m
1775036629.2190225,-4.1145529947267896e+34,-1.8044418030322774e-40,-3.120761744974584e-40,map,base_link,0,abs_limit
1775036629.3198853,-4.1145529947267896e+34,-1.8044418030322774e-40,-3.120761744974584e-40,map,base_link,0,abs_limit
1775036629.4138315,-4.1145529947267896e+34,-1.8044418030322774e-40,-3.120761744974584e-40,map,base_link,0,abs_limit
1775036629.512415,-4.1145529947267896e+34,-1.8044418030322774e-40,-3.120761744974584e-40,map,base_link,0,abs_limit
1775036629.6116996,-4.114552677814139e+34,-1.8044418030322774e-40,-3.120761744974584e-40,map,base_link,0,abs_limit
1775036629.7137485,-4.114540318220787e+34,-1.8044418030322774e-40,-3.120761744974584e-40,map,base_link,0,abs_limit
1775036629.8129966,99.499990234375,10.099997558593751,1.5707963705062866,map,base_link,0,step_too_large=100.011m
1775036629.9154935,-4.1145149652087823e+34,-1.8044418030322774e-40,-3.120761744974584e-40,map,base_link,0,abs_limit
1775036630.0101404,-4.1145019717901303e+34,-1.8044418030322774e-40,-3.120761744974584e-40,map,base_link,0,abs_limit
1775036630.1154847,99.19999023437501,10.099997558593751,1.5707963705062866,map,base_link,0,step_too_large=99.713m
1775036630.2179327,-4.1144769356907756e+34,-1.8044418030322774e-40,-3.120761744974584e-40,map,base_link,0,abs_limit
