stage,n_samples,mae_x,mae_y,mae_norm,rmse_x,rmse_y,rmse_norm,final_error,max_error
fusion,245,4.498522109022051e+27,4.340089508723197e+32,4.340089508956334e+32,4.978951589196891e+28,4.803598833798283e+33,4.8035988340563176e+33,16.88916730893104,5.316609648471509e+34
unicycle,3,1.6177303289722636e+34,7.236385990818258e+33,1.7722032161571696e+34,2.8019911227250745e+34,1.2533788199276874e+34,3.069546011721188e+34,0.1724721291166887,5.316609648471509e+34
ackermann,240,2.040827480388111e+33,1.5040765063423526e+34,1.528525273935559e+34,5.062516109628219e+33,2.805402203915848e+34,2.8507143349235027e+34,0.0049268769147376,5.31660964847151e+34
